Name,Price,Seller Name,Seller Location,Seller Phone,Item,Brand,Condition,Laptop Type,Processor Type,Processor Speed,Screen Size,RAM,Hard Disk,Disk Type,Graphics Card,Networking,Webcam,Card Reader,Battery,Keyboard,Software,Dimensions (W x D x H),Product Weight (Kg),Series,Chipset,Audio/Speaker,Optical Drive,Model,Extra Slot,Ports,Other Features
HP Elitebook 840 G10 Core i7 13th Gen 512GB SSD,"৳ 86,000",Laptop Land Bd,ElephantRoad,01897496011,Used Laptop,HP,Used,Standard,Intel Core i7 13th Gen,"Up to 5.20GHz, 12MB Cache","14"" FHD",16GB DDR5 5200MHz,512GB NVMe Express Drive,SSD,AMD Radeon 780M- 8GB,"Intel Wi-Fi 6E AX211, Bluetooth 5.3",5MP IR camera,1 x smart card reader,"HP Long Life 3-cell, 51Wh Li-ion","Spill-resistant, backlit keyboard",,14.12 x 9.88 x 0.76 in,1.72Kg,HP EliteBook,,"Audio by Bang and Olufsen, dual stereo speakers, dual microphones enhanced by AI noise reduction",,,,,
HP EliteBook 830 G9 Core i5 12th Gen Laptop,"৳ 67,000",Bangladesh Laptop Gallery,ElephantRoad,01687321007,Used Laptop,HP,Used,Standard,Intel Core i5-1235U 12th Gen,"up to 4.4 GHz with Intel Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads","13.3"" diagonal, WUXGA, IPS, 45% NTSC",8 GB DDR5 4800MHz,512 GB PCIe NVMe,SSD,Intel Iris X Graphics,Intel Wi-Fi 6E AX211 (2 x 2) and Bluetooth V5.3 Wireless Card,5 MP camera,,"HP Long Life 3-cell, 51 Wh Li-ion","HP Premium, Spill-resistant, Backlit keyboard",Windows 11 Pro,30.01 x 21.48 x 1.92 cm,Starting at 1.27 Kg,HP EliteBook,,"Audio by Bang & Olufsen, dual stereo speakers, dual array world-facing microphones",N/A,,,,
Lenovo ThinkPad X1 Carbon Core i7 8th 16GB RAM,"৳ 41,200",Laptop Core Technology,Mirpur,01836583433,Used Laptop,Lenovo,Used,Standard,Intel Core i7-8550U 8th Generation Processor,"1.80 GHz Base Frequency up to 4.00 GHz, 8M Cache, 4 Cores, 8 Threads","14"" FHD Touchscreen Display with CyberLock",16GB DDR4,256GB NVMe,SSD,8GB Intel Graphics,Wi-Fi 6 AX201 802.11AX (2 x 2) & Bluetooth 5.2,HD 720p,Yes,"3-Cell 57 Wh, Integrated",Backlit,,323 x 217 x 14.9 mm,1.09Kg,Lenovo Thinkpad,,Stereo with Dolby Audio Premium,,,,2 x USB-C 3.2 / 2 x USB 3.2 / 1 x HDMI 1.4,
Microsoft Surface Laptop 3 Core i7 10th Gen,"৳ 57,000",Technosoft Integration,Mohammadpur,01324728425,Used Laptop,Microsoft,Used,Standard,Intel Core i7-1065G7 10th Generation,"8M Cache, up to 3.90 GHz","13.3"" UHD, 2256 x 1504p Touch",16GB DDR4 4267MHz,512GB,SSD,Intel Ultra HD- 8GB,"Wi-Fi 6 (802.11ax), Bluetooth Wireless 5",Windows Hello facial-recognition camera,,,LED Backlit,Default OS,339.5 x 244 x 14.69 mm,1.54 Kg,Others,,"Built-In Speaker, Studio Mics",N/A,,,,
Dell Latitude 7480 Core i5 6th Generation Laptop,"৳ 19,000",JM Computer Fair,ElephantRoad,01320583910,Used Laptop,Dell,Used,Standard,Intel Core i5-6300U 6th Generation,"Base Frequency 2.40 GHz, 3M Cache",14 Inch LED Display,8GB DDR4,256GB,SSD,Intel HD Graphics 520,"802.11a/b/g/n/ac, Bluetooth 4.2, Gigabit Ethernet, Wi-Fi",2MP HD Webcam,SD Memory Card,4-Cell 3-Hour Battery Backup,,,,1.3Kg,Others,Intel Chipset,"Stereo Speakers, Microphone",,,,,
HP EliteBook 830 G7 Core i7 10th Gen Laptop,"৳ 43,500",Laptop Village,ElephantRoad,01972339639,Used Laptop,HP,Used,Standard,Intel Core i7-10610U 10th Generation,"Base Frequency 1.1 GHz, up to 4.9 GHz with Intel Turbo Boost Technology, 8MB Cache, 6-Cores","13.3 inch Diagonal FHD IPS eDP Anti-Glare WLED-Backlit Bent for WWAN, 250 nits, 45% NTS",16GB DDR4,512GB,SSD,Intel 8GB UHD Graphics,"Intel Wi-Fi 6 AX201 (2x2) and Bluetooth 5 combo, vPro",HP Wide Vision HD Camera With Integrated Dual Array Digital Microphone,,"HP Long Life 3-Cell, 53 Wh Li-Ion","Spill resistant, Optional Backlit Keyboard and DuraKeys",Windows,12.1 x 8.1 x 0.7 inch,Starting at 1.24 Kg,HP EliteBook,Integrated with Processor,"Bang & Olufsen, Dual Stereo Speakers, 3-Multi Array Microphone",N/A,,,,
HP EliteBook 840 G7 Core i5 10th Gen 16GB RAM Notebook,"৳ 39,000",Next Future It,Uttara,01920677960,Used Laptop,HP,Used,Standard,Intel Core i5 10th Gen,"Up to 4.20 GHz, 6M Cache","14.1"" Diagonal FHD","16GB DDR4, 2666 MHz",512GB PCIe NVMe,SSD,Intel UHD,"LAN, Wi-Fi, Bluetooth",720p,Smartcard reader,3-Cell Li-Ion & Up to 6 hours backup,Spill resistant & Backlit,Windows,32.36 x 21.46 x 1.78 cm,1.34 Kg,HP EliteBook,Intel,Two stereo speakers,No,,Nano SIM card,USB / HDMI / Headphone jack,
"Dell Latitude 7400 Core i5 8th Gen 14"" Touch Laptop","৳ 28,000",Technosoft Integration,Mohammadpur,01324728425,Used Laptop,Dell,Used,Standard,Intel Core i5-8265U 8th Generation,Base Frequency 1.60 GHz up to 3.90 GHz,"14 inch, FHD Touch Anti-reflective and Anti-Smudge, Corning Gorilla Glass 5",8GB DDR4 2400 Bus,256GB,SSD,Intel UHD 620 Graphics,"Intel Dual Band Wireless AC 9560 (802.11ac) 2x2, Bluetooth 5.0",IR Camera,,4-Cell 60Whr,"Full Sized, Optional",Windows,319.77 x 199.9 x 14.89 mm,1.36 Kg,Dell Latitude,,High Quality Speakers,,,,,
HP EliteBook 830 G7 Core i5 10th Gen 16GB RAM,"৳ 41,000",Baraka IT,ElephantRoad,01933301456,Used Laptop,HP,Used,Standard,Intel Core i5 10th Gen,"6M Cache, 1.60 GHz up to 4.20 GHz","13.3"" FHD, IPS, anti-glare, WLED-backlit, eDP, 250 nits, 45 Percent NTSC",16GB DDR4,512GB NVme,SSD,Intel 8GB UHD Graphics,"Intel Wi-Fi 6 AX201 2 x 2 and Bluetooth 5 combo, vPro",HP Wide Vision HD Camera With Integrated Dual Array Digital Microphone,Yes,"HP Long Life 3-Cell, 53 Wh Li-Ion","Spill resistant, Optional Backlit Keyboard and DuraKey",Windows,12.1 x 8.1 x 0.7 inch,Starting at 1.24 Kg,HP EliteBook,Integrated with Processor,"Bang & Olufsen, Dual Stereo Speakers, 3-Multi Array Microphone",N/A,,,,
HP EliteBook 850 G6 Core i5 8th Gen Laptop,"৳ 34,000",Bangladesh Laptop Gallery,ElephantRoad,01687321007,Used Laptop,HP,Used,Standard,Intel Core i5 8th Generation,"1.9 GHz base frequency, up to 4.8 GHz, 8MB Cache",15.6 inches diagonal FHD eDP anti-glare WLED-backlit slim,8GB,256GB,SSD,Intel UHD Graphics 620,"Intel Dual Band Wireless-AC 9560 802.11a/b/g/n/ac (2x2) Wi-Fi and Bluetooth 5 Combo, vPro",‎2.1MP HD,,"HP Long Life 3-cell, 56 Wh Li-ion",HP Premium Collaboration Keyboard,Windows,37.0 x 25.17 x 1.85 cm,Starting at 1.89 kg,HP EliteBook,,Integrated Stereo Speakers,,,,,
Apple MacBook Air 13 A2337 2020,"৳ 89,999",Khan Gadget,ElephantRoad,01974122755,Used Laptop,Apple,Used,Macbook,M1 Chip-Late 2020,,"13.3"" Retina LED-backlit",8GB LPDDR4,512GB,SSD,,"802.11ax Wi-Fi 6, Bluetooth 5.0",720p FaceTime HD camera,,,Backlit Magic,Mac,11.97 x 8.36 x 0.16–0.63 inch,1.29 Kg,Others,,Stereo speakers,N/A,,,,
Lenovo ThinkPad T14 Ryzen 5 Pro 4650u 16GB RAM,"৳ 36,900",YOU TECH BD,Mirpur,01786022422,Used Laptop,Lenovo,Used,Standard,AMD Ryzen 5 Pro 4650U,up to 4.2GHz,14 Inch HD,16GB DDR4,256GB M.2 NVMe,SSD,AMD Radeon Graphics,"Wi-Fi 6 802.11AX 2 x 2, Bluetooth",720p HD with Think Shutter,MicroSD card reader,"3 Cell, 50Wh Up to 10.7 hours",Spill Resistant & Backlit,Windows,"12.9 x 8.9 x 0.70""",1.46 Kg,Lenovo Thinkpad,,Dolby Audio Speaker System/Dual far-field microphones,,,,,
"HP EliteBook 845 G7 AMD Ryzen 5 Pro 4650U 14"" Touch","৳ 40,000",Min Technology,Mirpur,01729902524,Used Laptop,HP,Used,Standard,AMD Ryzen 5 PRO 4650U APU with AMD Radeon Graphics,"2.1 GHz base clock, up to 4.0 GHz max boost clock 8 MB L3 cache 6 cores","14 inch diagonal FHD IPS eDP anti-glare On-Cell WLED-backlit bent touchscreen, 250 nits, 45% NTSC",16GB DDR4-3200 SDRAM (2 x 8 GB),512GB PCIe NVMe Value,SSD,MD Radeon Graphics,"Intel AX200 Wi-Fi 6 (2x2) and Bluetooth 5 Combo, non-vPro",720p HD camera,Smarts card reader,"HP Long Life 3-cell, 53 Wh Li-ion",Spill-resistant with drain Optional backlit function and DuraKey,Windows 10 Pro 64,32.33 x 21.46 x 1.90 cm,Starting at 1.47 Kg,HP EliteBook,Integrated with processor,Audio by Bang & Olufsen Integrated 3 multi-array microphone (2) Integrated stereo speakers,N/A,,,,
HP EliteBook 840 G2 Core i7 5th Gen Laptop,"৳ 19,499",TWO STAR LAPTOP,ElephantRoad,01723574892,Used Laptop,HP,Used,Standard,Intel Core i7-5200u 5th Generation,Base Frequency 2.20 GHz-2.60 GHz,14 Inch LED Display,8GB,256GB,SSD,Intel HD Graphics,Intel Dual Band Wireless-AC 7265 802.11 ac (2 x 2) Wi-Fi + Bluetooth,HD Webcam,,6 Cell Battery,HP Spill-Resistant Keyboard,,13.35 x 9.33 x 0.89 inch,Starting at 1.55Kg,HP EliteBook,Intel Chipset,"HD Audio with DTS Studio Sound, 2 Integrated Stereo Speakers",,,,,
"Dell Vostro 3400 Core i3 11th Gen 14"" 8GB RAM","৳ 27,500",TWO STAR LAPTOP,ElephantRoad,01723574892,Used Laptop,Dell,Used,Standard,Intel Core i3-1115G4 11th Gen,"Base Frequency 3.0 GHz up to 4.10 GHz, 6MB Cache",14.0-inch HD Anti-glare LED Backlight Non-Touch Narrow Border Display,8GB,1TB HDD + 128GB SSD,SSD + HDD,4GB Intel UHD Graphics,802.11ac 1x1 WiFi and Bluetooth V5.0,1280 x 720 Integrated HD Webcam,MicroSD Card Reader,"3-Cell, 42 WHr, Integrated battery",Backlit Keyboard,Default OS,,1.59Kg,Dell Vostro,Intel,Dual Speakers,No,,,,Extra M.2 Slot1 x USB 2.01 x HDMI 1.4 1 x Ethernet RJ-45 2 x USB 3.2 Gen 11 x Headset Jack
HP EliteBook 840 G6 Core i7 8th Gen 512GB SSD,"৳ 34,000",Mr. Tech,ElephantRoad,01911570045,Used Laptop,HP,Used,Standard,Intel Core i7-8550U 8th Generation,"8M Cache,1.80 GHz up to 4.00 GHz, 4 Cores, 8 Threads","14""  IPS anti-glare LED-backlit Display",16GB DDR4 2400 MHz,512GB,SSD,Intel GPU 8GB,"Intel Dual Band Wireless-AC 9560 802.11ac 2 x 2 Wi-Fi and Bluetooth 5 Combo, Pro",720p HD Camera,Smart card reader,"HP Long Life 3-cell, 50 Wh Li-ion","HP Premium Collaboration Keyboard, spill resistant with drain",Windows,32.6 x 23.43 x 17.9cm,1.48 Kg,HP EliteBook,,Dual Stereo Speakers,N/A,,Up to 32GB,,
Lenovo ThinkPad T460S Core i7 6th Gen Laptop,"৳ 21,999",Laptop Core Technology,Mirpur,01836583433,Used Laptop,Lenovo,Used,Standard,Intel Core i7 6th Gen,Up to 3.30GHz,14 Inch FHD Display,8GB DDR4,256GB M.2,SSD,Intel HD Series 4 GB Graphics,"802.11 a / b / g / n / ac, Bluetooth 4.1",HD Camera,SD Card Reader,"3 Cell, Up to 3 Hours Battery Backup",Standard Notebook Keyboard,Windows,330.2 x 226.1 x 17.8  mm,1.4 Kg,Lenovo Thinkpad,Intel,Realtek ALC3268 / Dual Speakers,,,,"3 x USB3.0, 1 x VGA ,1 x Headphone Jack",
HP EliteBook x360 1040 G7 Core i7 10th Gen Touch Laptop,"৳ 58,999",YOU TECH BD,Mirpur,01786022422,Used Laptop,HP,Used,Standard,Intel Core i7-10810U 10th Generation,"1.1 GHz, up to 4.9 GHz , 12 MB cache, 6 cores","14.0 inch diagonal FHD IPS Ultraslim 2.0 mm eDP and PSR2 BrightView touchscreen with 0.4 mm Gorilla Glass 5 , 400 nits, 72% NTSC",16GB LPDDR4 2933 MHz,512 GB PCIe NVMe,SSD,Intel UHD Premium Graphics,"Intel Dual Band Wireless-AX201 802.11a/b/g/n/ac (2 x 2) Wi-Fi 6 and Bluetooth 5 Combo, non-vPro",Hybrid 720p,,"HP Long Life 4-cell, 54.5 Wh Li-ion polymer",Spill Resistant Optional Backlit,Windows,31.93 x 20.27 x 1.65 cm,1.32 Kg,HP EliteBook,Integrated with processor,Audio by Bang & Olufsen,N/A,,Up to 64GB Upgraded RAM slot,,
HP ProBook 640 G5 Core i5 8th Generation Laptop,"৳ 26,500",YOU TECH BD,Mirpur,01786022422,Used Laptop,HP,Used,Standard,Intel Core i5 8th Gen,1.6 GHz Base Frequency Up to 3.4 GHz,"15.6 inch Diagonal HD SVA eDP Anti-Glare LED-Backlit, 45% sRGB, 220 nits Brightness",8 GB DDR4,256 GB NVMe M.2,SSD,4 GB Share Graphic,Intel Dual Band Wireless-AC 9560 802.11ac 2 x 2 Wi-Fi and Bluetooth 5 Combo,720p HD Camera,Yes,HP 3-cell Long Life (48 WHr) Li-ion,HP Advanced Keyboard with Numeric Keypad,Windows,37.72 x 25.70 x 2.41 cm,1.73 Kg,HP Probook,Intel,Audio by Bang and Olufsen Dual speakers,No,,HDD Upgrade,,
Lenovo ThinkPad T470S Core i5 7th Gen Laptop,"৳ 22,999",Trade One,ElephantRoad,01404007312,Used Laptop,Lenovo,Used,Standard,Intel Core i5-7260U 7th Generation,"Base Frequency 2.20 GHz, Up to 3.40 GHz, 4M Cache","14"" FHD IPS Display",8GB DDR4,256GB NVMe,SSD,Intel HD Graphics 620,"WiFi 802.11 ac WLAN, Bluetooth 4.1 Combo with WiFi Card",HD Webcam with Microphone,Smart Card Reader,"4-Cell Type,",Backlit Keyboard,Windows,13.25 x 9.15 x 0.79mm,1.3Kg,Lenovo Thinkpad,,,,,,,
HP EliteBook 845 G7 Ryzen 7 Pro 4750U 512GB SSD,"৳ 43,000",Laptop Land Bd,ElephantRoad,01897496011,Used Laptop,HP,Used,Standard,AMD Ryzen 7 Pro 4750U,"1.7GHz base clock, up to 4.2 GHz max boost clock, 8 MB L3 cache, 8 cores",14.00 inch FHD,"16GB DDR4, 3200 MHz",512GB,SSD,AMD Radeon Graphics,Realtek RTL8822BE 802.11ac (2 x 2) and Bluetooth 5 Combo,720p Primary Camera 0.9 Megapixel,,53Wh Lithium-Polymer,LED Backlit Available,Windows 10 pro / 11 pro,32.33 x 21.46 x 1.80cm,1.39 kg,HP EliteBook,Integrated with processor,Integrated 3 multi-array microphone,,,,,
HP EliteBook 840 G5,"৳ 27,500",YOU TECH BD,Mirpur,01786022422,Used Laptop,HP,Used,Standard,Intel Core i5 8th Generation,"Turbo Frequency 3.90GHz, 3M Cache","14.1"" IPS Full HD Display",8GB DDR4,256GB M.2,SSD,HD 620 4GB,Gigabit LAN / WiFi / Bluetooth,HD Web Camera,Multi Cardreader,4-Cell Battery with 6 hours backup,,,,,HP EliteBook,Intel HM85 Chipset,DTS Sound + Optimized for High Fidelity Audio,,✅ 840 G5,,,Finger Print Security
HP EliteBook 840 G6 Core i5 8th Gen 16GB RAM Laptop,"৳ 30,000",YOU TECH BD,Mirpur,01786022422,Used Laptop,HP,Used,Standard,Intel Core i5-8265U 8th Generation,"1.60GHz Base Frequency up to 3.90GHz, 6M Cache","14"" Diagonal FHD IPS Anti-Glare LED-Backlit Display",16GB DDR4 2400MHz,256GB,SSD,Intel UHD Graphics 620 Graphics,"Intel Dual Band Wireless-AC 9560 802.11a/b/g/n/ac (2 x 2), Bluetooth 5 Combo",720p HD Camera,Multi Card Reader,"HP Long Life 3-cell, 50 Wh Li-ion","HP Premium Collaboration Keyboard, and spill-resistant with drain",Windows,32.6 x 23.43 x 17.9cm,1.48 Kg,HP EliteBook,,Dual Stereo Speakers,,,"Yes, Up to 32GB RAM",,
Dell XPS 13 9380 Core i5 8th Gen 8GB RAM Laptop,"৳ 38,500",Laptop Land Bd,ElephantRoad,01897496011,Used Laptop,Dell,Used,Standard,Intel Core i5-8265U 8th Generation Processor,"6 MB Cache, 4 Core, up to 3.90 GHz","13.3""",8 GB DDR4,256 GB SSD NVME,SSD,4GB Intel Graphcis,"Wi-Fi 802.11ac, Bluetooth 4.1",HD Webcam,MicroSD Card Reader,52WHr battery,"Full size, backlit chiclet keyboard; 1.3mm travel",Windows 10 Pro,302 x 199 x 7.8 mm,1.23 Kg,Others,Intel,Stereo Speakers with Waves Maxx Audio Pro 1 W x 2 = 2 W Total,No,✅ XPS 13 9380,,,
HP EliteBook 850 G7 Core i7 10th Gen Laptop,"৳ 53,499",Electronics City BD,ElephantRoad,01878812487,Used Laptop,HP,Used,Standard,Intel Core i7 10th Gen Processor,"Base Frequency 2.90GHz, Maximum Frequency 4.80GHz, Cache  16MB","15.6"" diagonal, FHD, IPS, Anti-Glare",16GB DDR4,512 GB PCIe NVMe,SSD,Intel UHD Graphics,"Intel Wi-Fi 6 AX201 (2 x 2) and Bluetooth 5 combo, vPro",720p HD camera,Yes,"HP Long Life 3-cell, 53 Wh Li-ion",Backlight Spill Resistant,Windows,35.97 x 23.37 x 1.93 cm,Starting at 1.71 Kg,HP EliteBook,,"Audio by Bang & Olufsen, 2 x Integrated stereo speakers",N/A,,,,
Lenovo ThinkPad T460S Core i5 6th Generation Laptop,"৳ 18,500",Rainbow Computer,Mirpur,01914360134,Used Laptop,Lenovo,Used,Standard,Intel Core i5-6200U 6th Gen Processor,"3MB Cache, up to 2.80GHz","14"" Ultra HD Display",8GB DDR4 2133 MHz,256GB M.2,SSD,Intel HD Graphics 520,"Gigabit LAN, Wi-Fi, Bluetooth",720p HD Camera,4-in-1 Card Reader,4-5 Hour's,Standard,,,1.3 Kg,Lenovo Thinkpad,,Dolby Home Theater,,,,,
Dell Latitude 7490 Core i7 8th Gen Laptop,"৳ 33,000",Zamans Laptop,Mohammadpur,01752986720,Used Laptop,Dell,Used,Standard,Core i7-8650U 8th Gen,1.9Ghz 8mb Smart Cache,"14"" HD Anti Glare Screen Non-Touch",8GB DDR4,256GB M.2,SSD,Intel UHD 620,"802.11a / b / g / n / ac, Bluetooth 5.0",720Mp Hd Cam,SD Card Reader,"4 cell, 3 hours",Backlit Keyboard,,,1.3 Kg,Dell Latitude,Intel Chipset,"Stereo Speakers, Microphone",,,"Thunderbolt 3, Wedge Lock slot",3 x USB 3.1 Gen 1 Port 1 x USB Type C Port HDMI Display Port,
Lenovo Thinkpad X1 Carbon Core i7 8th Gen 512GB SSD,"৳ 38,000",Electronics City BD,ElephantRoad,01878812487,Used Laptop,Lenovo,Used,Standard,Intel Core i7-8550U 8th Generation,"1.80 GHz up to 4.00 GHz, 4 Core, 8 Thread, 8M Cache","14"" WQHD IPS, Anti-Glare, 300 nit",16GB DDR4,512GB,SSD,Intel HD Graphics 4GB,Wi-Fi 6 AX201 802.11AX 2 x 2 & Bluetooth 5.2,HD 720p,,"3-Cell 57 WH, integrated",Black Backlit English,Windows,323 x 217 x 14.9 mm,1.09Kg,Lenovo Thinkpad,,Stereo with Dolby Audio Premium,No,,,,
Apple A1502 MacBook Pro 2015 Core i5  256GB SSD,"৳ 34,999",TWO STAR LAPTOP,ElephantRoad,01723574892,Used Laptop,Apple,Used,Standard,Core i5,2.70 GHz,13.3 Inch,8GB,256GB,SSD,Intel Iris Graphics 6100,"802.11ac Wi-Fi wireless networking, IEEE 802.11a/b/g/n Compatible, Bluetooth 4.0",720p FaceTime HD Camera,Yes,Up to 7 hours,"Full-size backlit  with 78 (U.S.) or 79 (ISO) keys, including 12 function keys and 4 arrow keys with ambient light sensor",Yes,12.35 x 8.62 x 0.71 inch,1.8 Kg,Others,Yes,Yes,No,,,,Yes
